Emotions,Path
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-01-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-01-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-01-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-01-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-02-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-02-01-01.wav
neutral,./input/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-02-02-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-01-01-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-01-02-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-02-01-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-01-02-02-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-01-01-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-01-02-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-02-01-01.wav
happy,./input/ravdess-emotional-speech-audio/Actor_01/03-01-03-02-02-02-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-01-01-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-01-02-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-02-01-01.wav
sad,./input/ravdess-emotional-speech-audio/Actor_01/03-01-04-01-02-02-01.wav
